iter	Passed	Remaining
0	56	56129
1	56	28211
2	57	18943
3	57	14272
4	57	11470
5	57	9604
6	58	8274
7	58	7289
8	59	6508
9	59	5895
10	59	5384
11	60	4956
12	60	4594
13	60	4284
14	61	4014
15	61	3779
16	61	3575
17	62	3394
18	62	3230
19	62	3080
20	63	2946
21	63	2823
22	63	2711
23	64	2608
24	64	2513
25	64	2426
26	65	2345
27	65	2270
28	65	2200
29	66	2135
30	66	2073
31	66	2016
32	66	1962
33	67	1911
34	67	1863
35	67	1816
36	68	1773
37	68	1733
38	68	1693
39	69	1656
40	69	1621
41	69	1587
42	69	1555
43	70	1523
44	70	1494
45	70	1466
46	71	1439
47	71	1414
48	71	1390
49	71	1367
50	72	1346
51	72	1324
52	72	1302
53	73	1283
54	73	1264
55	73	1245
56	74	1227
57	74	1210
58	74	1193
59	75	1177
60	75	1160
61	75	1146
62	76	1132
63	76	1118
64	76	1104
65	77	1090
66	77	1077
67	77	1062
68	77	1049
69	78	1037
70	78	1025
71	78	1013
72	78	1002
73	79	991
74	79	980
75	79	970
76	80	960
77	80	950
78	80	941
79	80	931
80	81	921
81	81	912
82	81	903
83	82	895
84	82	884
85	82	876
86	82	867
87	82	859
88	83	851
89	83	844
90	83	836
91	84	830
92	84	823
93	84	816
94	84	809
95	85	802
96	85	796
97	85	789
98	86	783
99	86	776
100	86	771
101	86	763
102	87	758
103	87	752
104	87	746
105	87	741
106	88	736
107	88	731
108	88	725
109	89	721
110	89	717
111	89	712
112	90	707
113	90	702
114	90	698
115	90	692
116	91	688
117	91	684
118	91	679
119	92	674
120	92	670
121	92	666
122	92	660
123	92	656
124	93	652
125	93	648
126	93	644
127	93	639
128	94	635
129	94	632
130	94	629
131	95	627
132	95	623
133	95	619
134	96	616
135	96	612
136	96	609
137	96	605
138	97	601
139	97	598
140	97	595
141	97	592
142	98	588
143	98	585
144	98	582
145	99	579
146	99	576
147	99	573
148	99	570
149	100	567
150	100	565
151	100	562
152	101	559
153	101	556
154	101	554
155	101	551
156	102	548
157	102	546
158	102	543
159	103	540
160	103	538
161	103	535
162	103	533
163	104	530
164	104	528
165	104	526
166	105	524
167	105	521
168	105	519
169	105	517
170	106	514
171	106	512
172	106	510
173	107	508
174	107	506
175	107	503
176	107	501
177	108	499
178	108	497
179	108	495
180	108	492
181	109	490
182	109	488
183	109	486
184	109	484
185	110	481
186	110	480
187	110	478
188	111	476
189	111	474
190	111	472
191	111	470
192	112	468
193	112	467
194	112	465
195	112	463
196	113	461
197	113	461
198	114	459
199	114	458
200	114	456
201	115	454
202	115	452
203	115	451
204	115	449
205	116	447
206	116	446
207	116	444
208	116	442
209	117	441
210	117	439
211	117	437
212	118	436
213	118	434
214	118	433
215	118	431
216	119	429
217	119	428
218	119	426
219	119	425
220	120	423
221	120	422
222	120	420
223	121	419
224	121	417
225	121	416
226	121	414
227	122	413
228	122	411
229	122	410
230	122	408
231	123	407
232	123	406
233	123	404
234	123	403
235	124	402
236	124	400
237	124	399
238	125	398
239	125	396
240	125	395
241	125	394
242	126	392
243	126	391
244	126	390
245	126	388
246	127	387
247	127	386
248	127	385
249	128	384
250	128	382
251	128	382
252	129	381
253	129	380
254	129	378
255	130	378
256	130	376
257	130	375
258	131	374
259	131	373
260	131	372
261	131	371
262	132	370
263	132	369
264	132	368
